2022/06/23 21:34:12 [error] 23576#17224: *4280 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc20051220_173257_119-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4281 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc02085-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4282 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc20051220_160808_102-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4283 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc20050102_192118_51-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4284 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc09114-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4285 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dcp_2082-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4286 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc04563-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4287 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc03149-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4288 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/cep00032-300x240.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4289 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/100_5540-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4290 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/100_5478-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4291 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/01/dsc20050901_105100_212-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4292 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/01/dsc20050831_165238_332-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4293 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/01/dsc20050813_115856_52-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4294 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/01/dsc20050727_091048_222-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4295 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/01/canola2-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:13 [error] 23576#17224: *4247 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/01/dsc20050315_145007_132-300x225.jpg HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:31 [error] 23576#17224: *4300 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/async-upload.php HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:31 [error] 23576#17224: *4301 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2022/06/Eddy-Need-Remix-mp3-image-300x297.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:31 [error] 23576#17224: *4302 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/captain-america-198x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4303 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/static-pages-300x221.png HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4304 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/the-dark-knight-rises-199x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4305 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/spider-man-202x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4306 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/man-of-steel-202x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
